year,month,rank,song_title,artist_name
1960,7,15,SHAKIN' ALL OVER,JOHNNY KIDD AND THE PIRATES
1960,7,16,PISTOL PACKIN' MAMA,GENE VINCENT
1960,7,17,STAIRWAY TO HEAVEN,NEIL SEDAKA
1960,7,18,SHAZAM!,DUANE EDDY
1960,7,19,THAT'S LOVE,BILLY FURY
1960,7,20,LET THE LITTLE GIRL DANCE,BILLY BLAND
1960,7,21,PLEASE DON'T TEASE,CLIFF RICHARD
1960,7,22,RIVER, STAY 'WAY FROM MY DOOR
1960,7,23,FOOTSTEPS,STEVE LAWRENCE
1960,7,24,THE URGE,FREDDIE CANNON
1960,7,25,SWEET NOTHIN'S,BRENDA LEE
1960,7,26,THAT'S YOU,NAT 'KING' COLE
1960,7,27,YOU'LL NEVER KNOW WHAT YOU'RE MISSING,EMILE FORD AND THE CHECKMATES
1960,7,28,LUCKY FIVE,RUSS CONWAY
1960,7,29,SWEET DREAMS,DAVE SAMPSON
1960,7,30,HOW DO YOU KNOW IT'S LOVE,TERESA BREWER
1960,7,31,TRUE LOVE WAYS,BUDDY HOLLY
1960,7,32,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS
1960,7,33,GOT A GIRL,FOUR PREPS
1960,7,34,DO YOU MIND?,ANTHONY NEWLEY
1960,7,35,GREEN JEANS,FLEE-REKKERS
1960,7,36,BILL BAILEY,BOBBY DARIN
1960,7,37,ROCKING RED WING,SAMMY MASTERS
1960,7,38,MUSTAPHA,BOB AZZAM AND HIS ORCHESTRA
1960,7,39,CHERRY PIE,JESS CONRAD
1960,7,40,WALKING THE FLOOR OVER YOU,PAT BOONE
1960,7,41,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,7,42,BEATNIK FLY,JOHNNY AND THE HURRICANES
1960,7,43,SOMEONE ELSE'S BABY,ADAM FAITH
1960,7,44,SWINGING SCHOOL,BOBBY RYDELL
1960,7,45,PAPER ROSES,ANITA BRYANT
1960,7,46,PAPER ROSES,MAUREEN EVANS
1960,7,47,STUCK ON YOU,ELVIS PRESLEY
1960,7,48,HE'LL HAVE TO STAY,JEANNE BLACK
1960,7,49,I'M SORRY,BRENDA LEE
1960,7,50,MOUNTAIN OF LOVE,KENNY LYNCH
1960,8,1,PLEASE DON'T TEASE,CLIFF RICHARD
1960,8,2,GOOD TIMIN',JIMMY JONES
