song_title,artist_name
TAKE ME AWAY (I'LL FOLLOW YOU),BAD BOYS INC.
WORD UP,GUN
SUMMERTIME,DJ JAZZY JEFF AND FRESH PRINCE
LOVE IN A PEACEFUL WORLD,LEVEL 42
HIT BY LOVE,CE CE PENISTON
THIS TIME I FOUND LOVE,ROZALLA
WHAT GOES AROUND,BITTY MCLEAN
DUMMY CRUSHER,KERBDOG
SOMETIMES ALWAYS,JESUS AND MARY CHAIN
LUCAS WITH THE LID OFF,LUCAS
GIVE ME LIFE,MR. V
FROM HERE TO ETERNITY,MICHAEL BALL
THINK ABOUT THE WAY (BOM DIGI DIGI.. ),ICE MC
AFTERNOONS & COFFEESPOONS,CRASH TEST DUMMIES
WIPE OUT,ANIMAL
IF YOU WANT,LUCIANA
HOT,IDEAL
ADORE,JOE ROBERTS
TWYFORD DOWN,GALLIANO
THE MELOD-EP,DODGY
LIVING IN THE SUNSHINE,CLUBHOUSE FEATURING CARL
TOWER OF STRENGTH,SKIN
THE MAN I LOVE,KATE BUSH AND LARRY ADLER
WHERE IN THE WORLD,BBM
THE LOYALISER,FATIMA MANSIONS
REACHIN,HOUSE OF VIRGINISM
LOVE IS STRONG,ROLLING STONES
ROCK 2 HOUSE/HIP HOUSIN',X-PRESS 2 FEATURING LO-PRO
SMELLS LIKE TEEN SPIRIT,ABIGAIL
MORE TO LOVE,VOLCANO
PICNIC IN THE SUMMERTIME,DEEE-LITE
GET OFF THIS,CRACKER
YOU MEAN THE WORLD TO ME,TONI BRAXTON
PING PONG,STEREOLAB
DON'T LIE,SINCLAIR
GOLDENBOOK,FAMILY CAT
LET ME BE YOUR WINGS,BARRY MANILOW AND DEBRA BYRD
I'M NO ANGEL,MARCELLA DETROIT
SAVE THE LAST DANCE FOR ME,GENERAL SAINT FEAT DON CAMPBEL
HELP MY FRIEND,SLO-MOSHUN
C'MON C'MON (I'M NOT IN LOVE WITH YOU),VELVET JUNGLE
HOPELESSLY DEVOTED TO YOU,SONIA
SUDS & SODA,DEUS
ONE WORLD,GROOVE BOX FEAT EVELYN THOMAS
DON'T GIVE IT UP,SONIC SURFERS
SKULL,SEBADOH
YOU LET YOUR HEART GO TOO FAST,SPIN DOCTORS
CRUCIFY,COMANCHE PARK
EXPANDER,FUTURE SOUND OF LONDON
DRUMS ARE DANGEROUS,DRUM CLUB
HIP HOP,BALOUGA BOYS
SUL-E-STOMP,ASTRALASIA
EVERLASTING ARM/DEAD MAN,MERCURY REV
MESSIAH,FARM
MR ANDERSON/FISH `N' CHIPS,HARDFLOOR
INNER CITY BLUES,ANGELA WINBUSH
CONEY ISLAND,LIAM NEESON
I'LL MAKE LOVE TO YOU,BOYZ II MEN
WHAT'S UP,DJ MIKO
PARKLIFE,BLUR
EIGHTEEN STRINGS,TINMAN
RIGHT BESIDE YOU,SOPHIE B. HAWKINS
SOMEONE TO LOVE,SEAN MAGUIRE
SO GOOD,ETERNAL
LIVE FOREVER,OASIS
DREAMER,LIVIN' JOY
GAL WINE,CHAKA DEMUS & PLIERS
BLACK HOLE SUN,SOUNDGARDEN
SUMMER BUNNIES,R KELLY
MIDNIGHT AT THE OASIS,BRAND NEW HEAVIES
PRETEND BEST FRIEND,TERRORVISION
