year,month,rank,artist,song,romance_score,political_score,sad_score
1962,11,6,caroleking,itmightaswellrainuntilseptember,4,35,3
1962,11,7,natkingcole,ramblinrose,0,9,0
1962,11,8,delshannon,swissmaid,0,22,0
1962,11,10,elvispresley,shesnotyou,2,10,0
1962,11,11,fourseasons,sherry,0,8,0
1962,11,12,martyrobbins,devilwoman,4,47,4
1962,11,13,shirleybassey,whatnowmylove,4,8,3
1962,11,14,raycharles,youdontknowme,2,15,6
1962,11,15,cliffrichard,itllbeme,4,34,0
1962,11,26,buddyholly,reminiscing,2,17,2
1962,11,28,bobbydarin,ifamananswers,0,20,3
1962,11,32,beatles,lovemedo,0,2,0
1962,11,34,bobbydarin,things,3,10,3
1962,11,43,neilsedaka,breakingupishardtodo,2,14,3
1962,11,44,chubbychecker,dancinparty,0,22,0
1962,11,48,chubbychecker,limborock,0,10,0
1962,12,2,delshannon,swissmaid,0,22,0
1962,12,5,martyrobbins,devilwoman,4,47,4
1962,12,12,natkingcole,ramblinrose,0,9,0
1962,12,13,fourseasons,sherry,0,8,0
1962,12,18,caroleking,itmightaswellrainuntilseptember,4,35,3
1962,12,21,beatles,lovemedo,0,2,0
1962,12,23,shirleybassey,whatnowmylove,4,8,3
1962,12,26,elvispresley,returntosender,0,17,0
1962,12,30,brendalee,rockinaroundthechristmastree,0,10,3
1962,12,32,chubbychecker,limborock,0,10,0
1962,12,40,raycharles,youdontknowme,2,15,6
1962,12,42,jimreeves,imgonnachangeeverything,2,16,3
1962,12,43,elvispresley,shesnotyou,2,10,0
1962,12,48,patsycline,heartaches,2,10,0
1963,1,1,elvispresley,returntosender,0,17,0
1963,1,6,brendalee,rockinaroundthechristmastree,0,10,3
1963,1,12,delshannon,swissmaid,0,22,0
1963,1,13,raycharles,yourcheatingheart,0,10,0
1963,1,14,martyrobbins,devilwoman,4,47,4
1963,1,17,beatles,lovemedo,0,2,0
1963,1,25,fourseasons,sherry,0,8,0
1963,1,33,chubbychecker,limborock,0,10,0
1963,1,34,patsycline,heartaches,2,10,0
1963,1,39,natkingcole,dearlonelyhearts,0,20,0
1963,1,47,natkingcole,ramblinrose,0,9,0
1963,2,7,delshannon,littletownflirt,2,17,0
1963,2,8,elvispresley,returntosender,0,17,0
1963,2,13,fourseasons,biggirlsdontcry,0,11,4
1963,2,15,brendalee,allaloneami,2,18,5
1963,2,16,beatles,pleasepleaseme,0,10,0
1963,2,31,martyrobbins,rubyann,0,34,2
1963,2,36,beatles,lovemedo,0,2,0
1963,2,38,raycharles,yourcheatingheart,0,10,0
1963,2,50,delshannon,swissmaid,0,22,0
1963,3,2,beatles,pleasepleaseme,0,10,0
1963,3,7,cliffrichard,summerholiday,3,11,0
1963,3,8,delshannon,littletownflirt,2,17,0
1963,3,12,brendalee,allaloneami,2,18,5
1963,3,24,fourseasons,biggirlsdontcry,0,11,4
1963,3,42,elvispresley,onebrokenheartforsale,2,8,2
1963,3,45,elvispresley,returntosender,0,17,0
1963,3,49,royorbison,indreams,2,25,3
1963,4,2,cliffrichard,summerholiday,3,11,0
1963,4,7,beatles,pleasepleaseme,0,10,0
1963,4,10,gerryandthepacemakers,howdoyoudoit,0,3,0
1963,4,14,elvispresley,onebrokenheartforsale,2,8,2
1963,4,16,buddyholly,browneyedhandsomeman,3,86,3
1963,4,20,royorbison,indreams,2,25,3
1963,4,23,brendalee,allaloneami,2,18,5
1963,4,33,jerryleelewis,goodgollymissmolly,0,15,3
1963,4,35,andywilliams,cantgetusedtolosingyou,0,20,0
1963,4,37,raycharles,dontsetmefree,0,42,0
1963,4,43,delshannon,littletownflirt,2,17,0
1963,4,47,brendalee,losingyou,0,16,4
1963,4,50,fourseasons,walklikeaman,0,21,0
1963,5,1,gerryandthepacemakers,howdoyoudoit,0,3,0
1963,5,3,beatles,frommetoyou,3,9,3
1963,5,8,royorbison,indreams,2,25,3
1963,5,10,buddyholly,browneyedhandsomeman,3,86,3
1963,5,11,andywilliams,cantgetusedtolosingyou,0,20,0
1963,5,12,fourseasons,walklikeaman,0,21,0
1963,5,13,cliffrichard,summerholiday,3,11,0
1963,5,16,brendalee,losingyou,0,16,4
1963,5,30,beatles,pleasepleaseme,0,10,0
1963,5,37,brendalee,allaloneami,2,18,5
1963,5,38,delshannon,twokindsofteardrops,0,23,3
1963,5,42,elvispresley,onebrokenheartforsale,2,8,2
1963,6,1,beatles,frommetoyou,3,9,3
1963,6,4,cliffrichard,luckylips,5,24,2
1963,6,5,andywilliams,cantgetusedtolosingyou,0,20,0
1963,6,6,delshannon,twokindsofteardrops,0,23,3
1963,6,8,royorbison,indreams,2,25,3
1963,6,12,brendalee,losingyou,0,16,4
1963,6,13,gerryandthepacemakers,howdoyoudoit,0,3,0
1963,6,14,raycharles,takethesechainsfrommyheart,0,17,2
1963,6,21,buddyholly,browneyedhandsomeman,3,86,3
1963,6,22,gerryandthepacemakers,ilikeit,2,13,0
1963,6,26,fourseasons,walklikeaman,0,21,0
1963,6,28,samcooke,anothersaturdaynight,0,18,3
1963,6,32,cliffrichard,summerholiday,3,11,0
1963,6,33,royorbison,falling,3,12,3
1963,6,42,neilsedaka,letsgosteadyagain,2,12,3
1963,7,1,gerryandthepacemakers,ilikeit,2,13,0
1963,7,4,beatles,frommetoyou,3,9,3
1963,7,5,raycharles,takethesechainsfrommyheart,0,17,2
1963,7,6,buddyholly,bodiddley,0,9,0
1963,7,9,royorbison,falling,3,12,3
1963,7,12,cliffrichard,luckylips,5,24,2
1963,7,13,royorbison,indreams,2,25,3
1963,7,15,jimreeves,welcometomyworld,2,13,2
1963,7,16,delshannon,twokindsofteardrops,0,23,3
1963,7,19,andywilliams,cantgetusedtolosingyou,0,20,0
1963,7,27,gerryandthepacemakers,howdoyoudoit,0,3,0
1963,7,29,samcooke,anothersaturdaynight,0,18,3
1963,7,37,brendalee,losingyou,0,16,4
1963,7,42,buddyholly,browneyedhandsomeman,3,86,3
1963,7,46,fourseasons,aintthatashame,0,2,3
1963,7,49,searchers,sweetsformysweet,6,13,0
1963,8,3,searchers,sweetsformysweet,6,13,0
1963,8,6,gerryandthepacemakers,ilikeit,2,13,0
1963,8,9,jimreeves,welcometomyworld,2,13,2
1963,8,11,raycharles,takethesechainsfrommyheart,0,17,2
1963,8,14,brendalee,iwonder,3,16,2
1963,8,16,buddyholly,bodiddley,0,9,0
1963,8,17,beatles,frommetoyou,3,9,3
1963,8,18,royorbison,falling,3,12,3
1963,8,29,cliffrichard,luckylips,5,24,2
1963,8,32,rollingstones,comeon,2,8,0
1963,8,39,tonybennett,thegoodlife,2,16,3
1963,8,40,royorbison,indreams,2,25,3
1963,8,44,samcooke,anothersaturdaynight,0,18,3
1963,8,45,chuckberry,gogogo,2,16,0
1963,8,50,beachboys,surfinusa,2,24,0
1963,9,3,searchers,sweetsformysweet,6,13,0
1963,9,10,cliffrichard,itsallinthegame,2,18,0
1963,9,12,beatles,shelovesyou,0,12,2
1963,9,18,jimreeves,welcometomyworld,2,13,2
1963,9,23,rollingstones,comeon,2,8,0
1963,9,27,tonybennett,thegoodlife,2,16,3
1963,9,29,gerryandthepacemakers,ilikeit,2,13,0
1963,9,30,brendalee,iwonder,3,16,2
1963,9,31,raycharles,takethesechainsfrommyheart,0,17,2
1963,9,37,delshannon,twosilhouettes,2,22,3
1963,9,38,beachboys,surfinusa,2,24,0
1963,9,41,beatles,frommetoyou,3,9,3
1963,9,47,hollies,searchin,3,21,2
1963,10,1,beatles,shelovesyou,0,12,2
1963,10,2,cliffrichard,itsallinthegame,2,18,0
1963,10,10,buddyholly,wishing,2,5,2
1963,10,20,hollies,searchin,3,21,2
1963,10,22,rollingstones,comeon,2,8,0
1963,10,24,searchers,sweetsformysweet,6,13,0
1963,10,32,delshannon,twosilhouettes,2,22,3
1963,10,35,samcooke,frankieandjohnny,2,21,3
1963,10,39,tonybennett,thegoodlife,2,16,3
1963,10,46,shirleybassey,iwhohavenothing,4,18,2
1963,10,49,raycharles,takethesechainsfrommyheart,0,17,2
1963,11,1,gerryandthepacemakers,youllneverwalkalone,0,11,2
1963,11,2,beatles,shelovesyou,0,12,2
1963,11,7,shirleybassey,iwhohavenothing,4,18,2
1963,11,8,searchers,sugarandspice,2,12,0
1963,11,11,ronettes,bemybaby,2,10,0
1963,11,13,elvispresley,bossanovababy,0,10,0
1963,11,19,hollies,searchin,3,21,2
1963,11,23,buddyholly,wishing,2,5,2
1963,11,29,jimreeves,guilty,0,16,0
1963,11,33,cliffrichard,itsallinthegame,2,18,0
1963,11,36,daveclarkfive,doyouloveme,0,6,0
1963,11,49,raycharles,busted,2,32,0
1963,12,1,beatles,shelovesyou,0,12,2
1963,12,2,gerryandthepacemakers,youllneverwalkalone,0,11,2
1963,12,6,searchers,sugarandspice,2,12,0
1963,12,8,ronettes,bemybaby,2,10,0
1963,12,11,shirleybassey,iwhohavenothing,4,18,2
