year,month,rank,artist,song,romance_score
1964,4,3,rollingstones,notfadeaway,0
1964,4,5,jimreeves,iloveyoubecause,0
1964,4,6,daveclarkfive,bitsandpieces,4
1964,4,7,genepitney,thatgirlbelongstoyesterday,3
1964,4,8,beatles,cantbuymelove,3
1964,4,17,dustyspringfield,stayawhile,3
1964,4,18,searchers,needlesandpins,0
1964,4,20,elvispresley,vivalasvegas,0
1964,4,22,royorbison,borneonthewind,0
1964,4,24,brendalee,asusual,3
1964,4,25,gerryandthepacemakers,imtheone,6
1964,4,32,beatles,iwanttoholdyourhand,3
1964,4,34,rickynelson,foryou,6
1964,4,44,daveclarkfive,gladallover,9
1964,4,45,genepitney,twentyfourhoursfromtulsa,5
1964,4,48,beatles,shelovesyou,3
1964,5,2,searchers,dontthrowyourloveaway,0
1964,5,4,beatles,cantbuymelove,3
1964,5,6,jimreeves,iloveyoubecause,0
1964,5,7,gerryandthepacemakers,dontletthesuncatchyoucrying,0
1964,5,13,rollingstones,notfadeaway,0
1964,5,15,dionnewarwick,walkonby,4
1964,5,18,hollies,justonelook,3
1964,5,21,animals,babyletmetakeyouhome,0
1964,5,22,genepitney,thatgirlbelongstoyesterday,3
1964,5,27,brendalee,think,0
1964,5,29,elvispresley,vivalasvegas,0
1964,5,30,cliffrichard,constantly,3
1964,5,31,royorbison,itsover,8
1964,5,33,daveclarkfive,bitsandpieces,4
1964,6,4,royorbison,itsover,8
1964,6,5,cliffrichard,constantly,3
1964,6,8,searchers,dontthrowyourloveaway,0
1964,6,10,chuckberry,noparticularplacetogo,0
1964,6,11,dionnewarwick,walkonby,4
1964,6,12,jimreeves,iloveyoubecause,0
1964,6,15,gerryandthepacemakers,dontletthesuncatchyoucrying,0
1964,6,18,hollies,hereigoagain,5
1964,6,22,beatles,cantbuymelove,3
1964,6,29,animals,babyletmetakeyouhome,0
1964,6,32,daveclarkfive,cantyouseethatshesmine,0
1964,6,39,brendalee,think,0
1964,6,41,rollingstones,notfadeaway,0
1964,6,48,elvispresley,vivalasvegas,0
1964,7,1,royorbison,itsover,8
1964,7,7,hollies,hereigoagain,5
1964,7,10,daveclarkfive,cantyouseethatshesmine,0
1964,7,11,chuckberry,noparticularplacetogo,0
1964,7,14,jimreeves,iloveyoubecause,0
1964,7,16,cliffrichard,constantly,3
